place_name,texte_fautif,explication
Mission Locale de la Lyr - Les Lilas,La Mission locale de la Lyr aux Lilas,"Manque de trait d'union ou d'espacement entre 'Lyr' et 'aux Lilas' pour indiquer le nom complet de la mission locale, probablement 'La Mission locale de L'Yerres aux Lilas' ou 'La Mission locale d'Yerres aux Lilas'"
Mission Locale de la Lyr - Les Lilas,La Mission locale de la Lyr aux Lilas vous aide à,"Utilisation d'un deux-points sans retrait, il est préférable d'ajouter un espace avant le deux-points"
Mission Locale de la Lyr - Les Lilas,La Mission Locale est à l'intérieur du  Kiosque,"Incohérence dans la casse des lettres pour 'Mission Locale', qui devrait être 'Mission locale' pour respecter la casse utilisée précédemment"
Mission Locale de la Lyr - Les Lilas,La Mission Locale de la Lyr est également présente à  Pantin  et au  Pré-Saint-Gervais,"Même erreur d'incohérence de casse que précédemment, ainsi que potentiellement la même erreur de nom que pour 'La Mission locale de la Lyr aux Lilas'"
Kâlî,,
Bibliothèque Robert-Desnos,,
Permanence de Pimms Médiation - Noisy le Grand Champy,,
point-justice de la Maison du droit de Noisy-le-Grand,,
Bibliothèque de quartier Paul Éluard,,
Bibliothèque de quartier Colonel Fabien,FLE / Alph,"erreur d'abréviation, probablement 'FLE' pour 'Français Langue Étrangère' mais 'Alph' n'est pas clair, peut-être 'Alphabet' ou une erreur de frappe"
Bibliothèque de quartier Colonel Fabien,munissez-vous,"conjugaison, devrait être 'munissez vous' ou 'munissez-vous' avec un trait d'union pour la forme impérative"
Bibliothèque de quartier Colonel Fabien,pour les moins de 18 ans,"accord, devrait être 'pour les mineurs de moins de 18 ans' ou 'pour les moins de 18 ans' est acceptable mais 'mineurs' est plus clair"
Bibliothèque de quartier Daniel Renoult,,
Bibliothèque Denis Diderot,,
Bibliothèque André-Malraux,,
Bibliothèque François Mitterrand,,
Médiathèque Roger Gouhier,une une,Répétition du mot 'une'
Médiathèque Roger Gouhier,et jusqu’à 14 ans et une ludothèque,"Manque de cohésion entre les deux informations, une virgule ou un point serait plus approprié pour séparer les deux idées"
Emmaüs Connect Saint-Denis,,
Agence Locale d'Insertion Aurore (ALI) - Livry-Gargan,,
Centre Municipal de Santé des Lilas,,
Restos du Coeur - Centre d’activités d'Epinay-sur-Seine,,
LAO-POW'HER,,
Wake up Café (WKF),dedans-dehors,"erreur d'orthographe, devrait être 'de l'intérieur vers l'extérieur' ou 'à l'intérieur comme à l'extérieur'"
Wake up Café (WKF),Egalement,"erreur d'orthographe, devrait être 'Également'"
Wake up Café (WKF),WKF,"incohérence, l'acronyme utilisé est 'WKF' alors que le nom complet est 'Wake up Café'"
Wake up Café (WKF),Vis ma vie de sortant de prison,"erreur d'accord, devrait être 'Vis ma vie de sorti de prison' ou 'Vis ma vie en tant que sortant de prison'"
Maison du bébé,en janvier 2015,Répétition de la date déjà mentionnée au début du texte
Maison du bébé,que ceux-ci concernent leur bébé ou eux-même,Erreur d'accord : 'eux-mêmes' au lieu de 'eux-même'
Migrations Santé,,
Emmaüs alternatives - Boutique Montreuil,,
PMI Parat,,
PMI Jean Mermoz,,
PMI Rue des Cités,La PMI Rue des Cité,Erreur d'accord du nom : 'Rue des Cités' au lieu de 'Rue des Cité'
PMI Rue des Cités,psychomotricienne,Erreur de genre ou de forme : 'psychomotrice' ou 'consultations en psychomotricité' serait plus approprié
PMI Charles Tillon,,
PMI Bernard et Mazoyer,,
PMI Lahaye,,
PMI Pierre et Marie Curie,,
PMI Léon Blum,,
PMI Madeleine Brès,,
PMI Croix Rouge - Bagnolet,,
PMI du centre polyvalent de santé Aimé Césaire,,
PMI Oslo,,
PMI Jacqueline de Chambrun,,
PMI Jean Aupest,,
PMI Gros Saule,,
PMI Galion,,
PMI Tourville,,
PMI Croix Nobillon,,
PMI Chêne Pointu,,
PMI Victor Hugo,,
PMI Verdun,,
PMI Pierre Abrioux,,
PMI Orgemont,,
PMI Rue de Paris,,
PMI Justice,,
Restos du Coeur - Centre d’activités de Villetaneuse,,
PMI Henri Barbusse,,
PMI Salengro,,
PMI Saint-Stenay,,
PMI les Acacias,,
PMI du Parc,,
PMI Dugny,,
PMI Gustave Caillebotte,,
PMI 18 juin 1940,,
PMI Commune de Paris,,
PMI de l'Ouest,psychomotricienne,doit être au masculin : psychomotricien
PMI de l'Ouest,SUR RDV,doit être en minuscules : sur RDV
PMI Berthie-Albrecht,,
PMI Jean Jaurès,,
PMI Pierre-Rouques,,
PMI Danton,,
PMI Garde Chasse,,
PMI Paul Verlaine,,
PMI Léo Lagrange,,
PMI Georges Braque,,
PMI Marcel Alizard,,
PMI Division Leclerc,,
PMI Sully,,
PMI Henri Barbusse,,
PMI Berthe Morisot,,
PMI Rue de Paris,,
PMI Sergent Bobillot,,
PMI Henri Wallon,,
PMI Papillons,,
PMI Henri Dunant,,
PMI Pierre Rouques,,
PMI Leonetti,,
PMI Hautes Rives,,
PMI Bauer,,
PMI Rougemont,,
PMI des Découvertes,,
PMI Émile Connoy,,
PMI Sycomores,,
PMI Saint-Denis,,
PMI Gallieni,,
